original_title,title,release_date,budget,revenue,popularity,vote_average,vote_count
The Omen,The Omen,1976-06-06,2800000,60922980,25.939385,7.2,476
Final Destination 3,Final Destination 3,2006-02-10,25000000,117719158,31.64341,5.8,974
The Lucky One,The Lucky One,2012-04-19,25000000,99357138,26.811541,6.8,946
Bridge to Terabithia,Bridge to Terabithia,2007-02-16,60000000,137587063,40.646102,7.0,1113
Finding Neverland,Finding Neverland,2004-10-17,25000000,116766556,34.160447999999995,7.2,1223
The Grey,The Grey,2012-01-26,25000000,77278331,48.552871,6.4,1451
Hide and Seek,Hide and Seek,2005-01-27,25000000,122644820,18.228538,6.1,440
Anchorman: The Legend of Ron Burgundy,Anchorman: The Legend of Ron Burgundy,2004-07-09,26000000,90574188,29.342744,6.7,1493
GoodFellas,GoodFellas,1990-09-12,25000000,46836394,63.65424399999999,8.2,3128
Agent Cody Banks,Agent Cody Banks,2003-03-14,28000000,58795814,11.859396,5.0,284
Nanny McPhee,Nanny McPhee,2005-10-21,25000000,122489822,24.356482999999997,6.4,711
Scarface,Scarface,1983-12-08,25000000,65884703,70.105981,8.0,2948
The Last Emperor,The Last Emperor,1987-10-21,23000000,43984230,21.189028,7.4,355
Contraband,Contraband,2012-01-12,25000000,63100000,31.364901,6.1,770
There Will Be Blood,There Will Be Blood,2007-12-28,25000000,77208711,37.817904999999996,7.9,1537
Undercover Brother,Undercover Brother,2002-05-31,25000000,41604473,6.086083,5.5,112
The Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants,2005-06-01,25000000,39053061,17.17372,6.3,386
Kiss of the Dragon,Kiss of the Dragon,2001-07-06,25000000,64437847,16.936576000000002,6.4,298
The House Bunny,The House Bunny,2008-08-22,25000000,70442940,25.838073,5.6,529
Beauty Shop,Beauty Shop,2005-06-02,25000000,36351350,5.625632,5.4,115
Million Dollar Arm,Million Dollar Arm,2014-05-09,25000000,38307627,17.312433,6.6,259
The Giver,The Giver,2014-08-11,25000000,66980456,53.811461,6.4,1798
Jeepers Creepers 2,Jeepers Creepers 2,2003-08-08,17000000,63102666,19.045146,5.5,299
Good Luck Chuck,Good Luck Chuck,2007-09-21,25000000,59192128,21.729434,5.5,444
Cradle 2 the Grave,Cradle 2 the Grave,2003-02-28,25000000,56489558,12.837116,5.8,236
The Hours,The Hours,2002-12-27,25000000,41597830,20.953265,7.0,451
She's the Man,She's the Man,2006-03-17,20000000,33889159,10.81439,6.4,671
Mr. Bean's Holiday,Mr. Bean's Holiday,2007-03-22,25000000,229736344,27.683874,6.1,663
Anacondas: The Hunt for the Blood Orchid,Anacondas: The Hunt for the Blood Orchid,2004-08-26,20000000,70992898,9.855474000000001,4.9,199
Blood Ties,Blood Ties,2013-08-22,25500000,2415472,12.756344,6.0,171
August Rush,August Rush,2007-11-21,25000000,66122026,29.533437,7.1,797
Elizabeth,Elizabeth,1998-09-13,30000000,82150642,14.179538,7.1,334
Bride of Chucky,Bride of Chucky,1998-10-16,25000000,50671850,14.340095000000002,5.5,350
Tora! Tora! Tora!,Tora! Tora! Tora!,1970-01-26,25485000,29548291,9.795985,6.9,147
Spice World,Spice World,1997-12-19,25000000,100000000,6.889436999999999,4.7,123
The Sitter,The Sitter,2011-12-09,25000000,34942188,19.428994,5.4,325
The Shawshank Redemption,The Shawshank Redemption,1994-09-23,25000000,28341469,136.747729,8.5,8205
Crocodile Dundee in Los Angeles,Crocodile Dundee in Los Angeles,2001-04-12,21150000,39438674,6.081772,4.7,146
Kingpin,Kingpin,1996-07-04,27000000,25023434,17.329269,6.7,244
The Gambler,The Gambler,2014-12-25,25000000,39171130,22.622453,5.7,543
August: Osage County,August: Osage County,2013-12-26,25000000,74188937,20.561682,6.9,483
Ice Princess,Ice Princess,2005-03-17,25000000,27645491,13.288177,5.9,185
A Lot Like Love,A Lot Like Love,2005-04-22,30000000,42886719,19.212552,6.5,318
Eddie the Eagle,Eddie the Eagle,2016-02-26,23000000,46152800,29.365851,7.2,661
He Got Game,He Got Game,1998-05-01,25000000,21567853,10.232599,6.7,134
Don Juan DeMarco,Don Juan DeMarco,1994-10-01,25000000,22200000,8.870614,6.2,183
Dear John,Dear John,2010-02-04,25000000,114977104,19.402816,6.6,1262
The Losers,The Losers,2010-04-23,25000000,23580000,24.903418,6.2,515
Don't Be Afraid of the Dark,Don't Be Afraid of the Dark,2010-11-06,25000000,36993168,14.562197,5.4,341
War,War,2007-08-24,25000000,40452643,18.896239,6.0,414
Punch-Drunk Love,Punch-Drunk Love,2002-10-25,25000000,17000000,15.960916000000001,6.9,530
EuroTrip,EuroTrip,2004-02-20,25000000,20796847,25.848003,6.5,656
The Greatest Game Ever Played,The Greatest Game Ever Played,2005-09-30,25000000,15431177,7.538513000000001,6.9,110
The Box,The Box,2009-09-17,30000000,33333531,21.606001000000003,5.4,597
The Next Best Thing,The Next Best Thing,2000-03-03,25000000,24362772,3.7075110000000002,4.3,29
My Soul to Take,My Soul to Take,2010-10-08,25000000,19829957,7.001175999999999,5.2,147
The Girl Next Door,The Girl Next Door,2004-04-09,25000000,30411183,39.784026000000004,6.3,824
Maximum Risk,Maximum Risk,1996-09-13,25000000,51702483,10.115011,5.2,101
Legend,Legend,2015-09-09,25000000,42972994,32.854557,6.7,973
Shark Night,Shark Night,2011-09-02,28000000,10126458,8.363702,4.9,132
Angela's Ashes,Angela's Ashes,1999-12-25,25,13,4.88794,7.0,59
Draft Day,Draft Day,2014-04-11,25000000,28831145,14.17009,6.5,304
The Conspirator,The Conspirator,2010-09-10,25000000,15478800,9.169271,6.2,137
Lords of Dogtown,Lords of Dogtown,2005-06-03,25000000,13411957,8.127728,7.0,210
The 33,The 33,2015-08-06,25000000,24902723,10.699952,6.0,378
Big Trouble in Little China,Big Trouble in Little China,1986-05-30,25000000,11000000,29.796394,7.1,705
Warrior,Warrior,2011-09-09,25000000,23057115,51.915025,7.7,1272
Michael Collins,Michael Collins,1996-10-25,28000000,16900000,8.314624,6.7,97
Stop-Loss,Stop-Loss,2008-03-28,25000000,11207130,4.002579,6.1,82
Abandon,Abandon,2002-10-14,25000000,10719357,3.888776,4.6,45
Brokedown Palace,Brokedown Palace,1999-08-13,25000000,13000000,7.296459,6.2,111
The Possession,The Possession,2012-08-30,14000000,85446075,21.680424,5.8,498
Mrs. Winterbourne,Mrs. Winterbourne,1996-04-19,25000000,10070000,7.946769000000001,5.3,25
Straw Dogs,Straw Dogs,2011-09-16,25000000,10324441,7.473455,5.5,144
The Hoax,The Hoax,2006-10-14,25000000,11772461,5.073536,6.4,60
The Road,The Road,2009-11-25,32000000,27635305,41.075532,6.8,1087
Sheena,Sheena,1984-08-17,25000000,5778353,4.020194,5.0,22
Tank Girl,Tank Girl,1995-03-31,25000000,4064495,8.186936,5.5,138
Blindness,Blindness,2008-05-14,25000000,19844979,17.603823000000002,6.4,387
BloodRayne,BloodRayne,2005-10-22,25000000,2405420,7.008216,3.5,118
Carnage,Carnage,2011-09-16,25000000,27603069,20.011435000000002,7.0,738
Without Limits,Without Limits,1998-09-11,25000000,777423,3.849873,6.2,19
Me and Orson Welles,Me and Orson Welles,2009-11-25,25000000,2336172,3.593165,6.6,49
La migliore offerta,The Best Offer,2013-01-01,13500000,19255873,30.058263,7.7,704
The Bad Lieutenant: Port of Call - New Orleans,The Bad Lieutenant: Port of Call - New Orleans,2009-09-11,25000000,10589102,17.339852,6.0,326
Les petits mouchoirs,Little White Lies,2010-10-20,25000000,48531470,15.279020999999998,7.1,380
Белка и Стрелка. Звёздные собаки,Space Dogs,2010-03-18,25000000,6500000,5.753564,6.3,10
The Counselor,The Counselor,2013-10-25,25000000,71009334,35.022028999999996,5.0,712
Waterloo,Waterloo,1970-10-26,25000000,3052000,1.8947490000000002,7.0,31
Dangerous Liaisons,Dangerous Liaisons,1988-12-16,14000000,34670720,14.480628,7.0,257
On the Road,On the Road,2012-05-22,25000000,8784318,14.613152,5.5,301
Star Trek IV: The Voyage Home,Star Trek IV: The Voyage Home,1986-11-25,24000000,133000000,22.258428,6.9,477
Rocky Balboa,Rocky Balboa,2006-12-20,24000000,155721132,30.445257,6.5,835
Scream 2,Scream 2,1997-12-09,24000000,172363301,35.244037,6.1,840
Jane Got a Gun,Jane Got a Gun,2016-01-01,25000000,1397284,15.333575,5.4,285
Think Like a Man Too,Think Like a Man Too,2014-06-20,24000000,70181428,15.237142,6.4,225
The Whole Nine Yards,The Whole Nine Yards,2000-02-18,41300000,106371651,23.441135,6.2,531
Footloose,Footloose,1984-02-17,8200000,80035402,25.03414,6.4,505
Old School,Old School,2003-02-21,24000000,87055349,24.70166,6.6,541
The Fisher King,The Fisher King,1991-09-09,24000000,41895491,16.146572,7.2,341
I Still Know What You Did Last Summer,I Still Know What You Did Last Summer,1998-11-13,65000000,40002112,20.793026,5.1,374
Return to Me,Return to Me,2000-04-07,24000000,36609995,5.771479,6.1,67
Zack and Miri Make a Porno,Zack and Miri Make a Porno,2008-09-18,24000000,42105111,27.326465999999996,6.1,721
The Men Who Stare at Goats,The Men Who Stare at Goats,2009-10-17,24000000,68729358,20.69219,5.9,742
Win a Date with Tad Hamilton!,Win a Date with Tad Hamilton!,2004-01-23,17000000,16980098,7.701041,5.5,160
Muppets from Space,Muppets from Space,1999-07-14,24000000,16290976,6.589192999999999,5.8,92
The Wiz,The Wiz,1978-10-24,24000000,21049053,2.753313,5.9,58
Ready to Rumble,Ready to Rumble,2000-04-07,24000000,12372410,3.113009,4.7,49
Play It to the Bone,Play It to the Bone,1999-12-25,24000000,8434146,5.566203,5.7,53
I Don't Know How She Does It,I Don't Know How She Does It,2011-09-16,24000000,30551495,8.630825,5.0,141
Piranha 3D,Piranha 3D,2010-08-20,24000000,83188165,23.343839000000003,5.3,581
Meet the Deedles,Meet the Deedles,1998-03-27,24000000,4562146,2.353441,4.1,19
The Thief and the Cobbler,The Thief and the Cobbler,1993-09-23,28000000,669276,2.439184,6.8,26
Faster,Faster,2010-11-23,24000000,23081726,26.324873999999998,6.1,568
ハウルの動く城,Howl's Moving Castle,2004-11-19,24000000,234710455,49.549984,8.2,1991
Zombieland,Zombieland,2009-10-07,23600000,102391382,57.300674,7.2,3550
The Waterboy,The Waterboy,1998-11-06,23000000,185991646,23.839126999999998,5.9,512
The Empire Strikes Back,The Empire Strikes Back,1980-05-17,18000000,538400000,78.51783,8.2,5879
Bad Boys,Bad Boys,1995-04-07,19000000,141407024,33.872182,6.5,1699
The Naked Gun 2½: The Smell of Fear,The Naked Gun 2½: The Smell of Fear,1991-06-28,23000000,86930411,27.332559999999997,6.6,546
Final Destination,Final Destination,2000-03-16,23000000,53302314,38.799596,6.4,1378
The Ides of March,The Ides of March,2011-09-24,12500000,75993061,20.317469,6.5,910
Pitch Black,Pitch Black,2000-02-18,23000000,53187659,18.493202,6.7,1789
Her,Her,2013-12-18,23000000,47351251,53.682367000000006,7.9,4097
Joy Ride,Joy Ride,2001-10-05,23000000,36642838,11.183197,6.3,325
The Adventurer: The Curse of the Midas Box,The Adventurer: The Curse of the Midas Box,2013-12-05,25000000,6399,8.842722,5.1,73
Anywhere But Here,Anywhere But Here,1999-11-12,23000000,18653615,8.976738000000001,5.9,66
Haywire,Haywire,2011-11-06,23000000,33372606,26.257951000000002,5.6,505
Jaws: The Revenge,Jaws: The Revenge,1987-07-17,23000000,51881013,12.777008,3.5,224
The End of the Affair,The End of the Affair,1999-12-03,23000000,10827816,6.921263000000001,6.6,55
Harley Davidson and the Marlboro Man,Harley Davidson and the Marlboro Man,1991-08-23,23000000,7434726,12.869436,6.1,82
In the Valley of Elah,In the Valley of Elah,2007-08-31,23000000,29541790,15.676123,6.6,261
Chéri,Cheri,2009-02-10,23000000,9366227,5.494047,5.9,56
Vanity Fair,Vanity Fair,2004-09-01,23000000,16123851,6.618149000000001,5.5,73
十月圍城,Bodyguards and Assassins,2009-12-18,23000000,5837674,7.876883,6.5,57
1408,1408,2007-07-12,25000000,94679598,35.169779,6.5,1343
Spaceballs,Spaceballs,1987-06-24,22700000,38119483,39.890798,6.7,902
The Water Diviner,The Water Diviner,2014-12-25,22500000,15520023,22.096286,6.8,431
Ghost,Ghost,1990-07-12,22000000,505000000,41.967005,6.9,1339
There's Something About Mary,There's Something About Mary,1998-07-15,23000000,369884651,57.110486,6.5,1590
The Santa Clause,The Santa Clause,1994-11-10,22000000,189833357,16.234053,6.3,489
The Rookie,The Rookie,2002-03-25,20000000,75597042,11.263361,6.5,110
The Game Plan,The Game Plan,2007-09-28,22000000,147880543,20.699212,6.0,428
The Bridges of Madison County,The Bridges of Madison County,1995-05-28,24000000,182016617,17.606087,7.3,385
The Animal,The Animal,2001-06-01,22000000,84772742,13.786075,4.6,304
Gandhi,Gandhi,1982-11-30,22000000,77737889,35.227212,7.4,716
The Hundred-Foot Journey,The Hundred-Foot Journey,2014-08-06,22000000,88880821,27.898438,7.3,508
The Net,The Net,1995-07-28,22000000,110627965,23.218144,5.6,354
I Am Sam,I Am Sam,2001-12-28,22000000,92542418,26.071644,7.2,530
Son of God,Son of God,2014-02-28,22000000,67800064,9.175761999999999,5.9,83
Underworld,Underworld,2003-09-19,22000000,95708457,81.829237,6.6,2512
Derailed,Derailed,2005-11-11,22000000,57479076,17.7091,6.1,319
The Informant!,The Informant!,2009-09-18,22000000,35424826,17.772517999999998,6.0,301
Deuce Bigalow: European Gigolo,Deuce Bigalow: European Gigolo,2005-08-06,22000000,22400154,10.259461,4.7,225
Delivery Man,Delivery Man,2013-10-10,26000000,51164106,30.114383,6.2,551
Saving Silverman,Saving Silverman,2001-02-09,22000000,19351569,12.887673,5.4,154
Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid: Dog Days,2012-08-02,22000000,77112176,13.410919,6.0,223
Jay and Silent Bob Strike Back,Jay and Silent Bob Strike Back,2001-08-22,22000000,33788161,21.865021,6.4,480
The Glass House,The Glass House,2001-09-14,30000000,23619609,9.448516999999999,5.4,201
"Hail, Caesar!","Hail, Caesar!",2016-02-05,22000000,63647656,39.006187,5.7,1309
Homefront,Homefront,2013-11-27,22000000,43058898,35.737655,6.4,875
The Little Vampire,The Little Vampire,2000-10-27,22000000,13555988,4.365196,6.1,77
RoboCop 3,RoboCop 3,1993-04-17,22000000,10696210,14.725467000000002,4.2,305
The Transporter Refueled,The Transporter Refueled,2015-09-03,25000000,72629670,25.002715,5.2,559
Zwartboek,Black Book,2006-09-01,21000000,26193068,13.906610999999998,7.2,277
Joyeux Noël,Joyeux Noël,2005-11-09,22000000,17709155,13.960945,7.2,212
Hit & Run,Hit & Run,2012-08-22,2000000,14400000,16.668854,5.5,224
Before I Go to Sleep,Before I Go to Sleep,2014-09-03,22000000,15447154,48.784734,6.2,659
Sorcerer,Sorcerer,1977-06-24,22000000,12000000,9.088208999999999,7.4,98
Stone,Stone,2010-10-07,22000000,9479718,12.445176,5.2,192
Out of the Furnace,Out of the Furnace,2013-12-06,22000000,15400000,29.230297999999998,6.5,720
Michael Clayton,Michael Clayton,2007-09-28,25000000,92991835,18.961323,6.5,501
Metegol,Underdogs,2013-07-18,22000000,24000000,14.866351000000002,6.0,122
To Rome with Love,To Rome with Love,2012-04-20,17000000,73244881,15.013385999999999,5.6,546
Firefox,Firefox,1982-06-13,18000000,70687344,8.700565,5.5,139
Death at a Funeral,Death at a Funeral,2007-02-09,9000000,46,20.410354,6.9,497
Teenage Mutant Ninja Turtles III,Teenage Mutant Ninja Turtles III,1993-03-17,21000000,42000000,10.207065,5.1,184
Hardball,Hardball,2001-09-14,32000000,40222729,5.683281,6.3,123
Silver Linings Playbook,Silver Linings Playbook,2012-09-08,21000000,205738714,63.599973,6.9,4742
Freedom Writers,Freedom Writers,2007-01-05,21000000,41170784,17.746980999999998,7.5,356
The Transporter,The Transporter,2002-10-02,21000000,43928932,34.433521,6.6,1692
Never Back Down,Never Back Down,2008-03-04,20000000,41627431,26.21425,6.4,497
The Rage: Carrie 2,The Rage: Carrie 2,1999-03-11,21000000,17762705,4.781537999999999,5.1,76
Away We Go,Away We Go,2009-06-05,17000000,14899417,10.135589999999999,6.7,189
Swing Vote,Swing Vote,2008-08-01,21000000,17600000,5.815881,5.8,65
Moonlight Mile,Moonlight Mile,2002-09-09,21000000,10011050,8.982335,6.5,52
The Beaver,The Beaver,2011-02-11,21000000,970816,13.847872,6.3,276
The Best Little Whorehouse in Texas,The Best Little Whorehouse in Texas,1982-07-23,35000000,69701637,4.189378,5.9,41
eXistenZ,eXistenZ,1999-04-14,15000000,2856712,21.928025,6.7,475
Raiders of the Lost Ark,Raiders of the Lost Ark,1981-06-12,18000000,389925971,68.159596,7.7,3854
Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,1992-11-19,18000000,358991681,81.487685,6.3,2395
Close Encounters of the Third Kind,Close Encounters of the Third Kind,1977-11-16,20000000,303788635,52.45650500000001,7.2,1098
Pulse,Pulse,2006-08-11,38000000,29907685,9.662714999999999,5.0,150
Beverly Hills Cop II,Beverly Hills Cop II,1987-05-18,20000000,299965036,25.28436,6.1,613
Bringing Down the House,Bringing Down the House,2003-03-07,20000000,132675402,8.351385,5.4,183
The Silence of the Lambs,The Silence of the Lambs,1991-02-01,19000000,272742922,18.174804,8.1,4443
Wayne's World,Wayne's World,1992-02-14,20000000,121697323,21.815122,6.5,728
Jackass 3D,Jackass 3D,2010-10-15,20000000,117224271,20.99174,6.4,428
Jaws 2,Jaws 2,1978-06-16,20000000,187884007,19.636044000000002,5.9,406
Beverly Hills Chihuahua,Beverly Hills Chihuahua,2008-10-03,20000000,149281606,12.25264,4.9,209
The Conjuring,The Conjuring,2013-07-18,13000000,318000141,49.975409,7.4,3092
Are We There Yet?,Are We There Yet?,2005-01-20,32000000,97918663,13.590677,5.2,221
Tammy,Tammy,2014-07-02,20000000,100525432,21.657563,5.0,500
School of Rock,School of Rock,2003-10-03,35000000,131282949,43.057323,6.7,1414
Mortal Kombat,Mortal Kombat,1995-08-18,18000000,122195920,16.470895000000002,5.4,442
White Chicks,White Chicks,2004-06-23,37000000,113086475,28.703007,6.3,679
The Descendants,The Descendants,2011-09-09,20000000,177243185,40.903931,6.7,934
12 Years a Slave,12 Years a Slave,2013-10-18,20000000,187000000,95.9229,7.9,3674
Drumline,Drumline,2002-12-13,20000000,57588485,4.748929,6.2,116
Why Did I Get Married Too?,Why Did I Get Married Too?,2010-04-02,20000000,60072596,2.986286,6.1,29
Edward Scissorhands,Edward Scissorhands,1990-12-05,20000000,53000000,47.51363,7.5,3601
Me Before You,Me Before You,2016-06-02,20000000,207945075,53.161905000000004,7.6,2562
The French Connection,The French Connection,1971-10-09,1800000,41158757,15.978136,7.4,422
Bad Moms,Bad Moms,2016-07-28,20000000,183936074,42.512296,6.3,1252
Date Movie,Date Movie,2006-02-17,20000000,48548426,10.098722,3.6,222
Return to Never Land,Return to Never Land,2002-02-14,20000000,109862682,15.341196,6.1,290
Selma,Selma,2014-12-25,20000000,66787908,29.023184000000004,7.4,817
The Jungle Book 2,The Jungle Book 2,2003-02-07,20000000,135680000,19.819893,5.6,269
Boogeyman,Boogeyman,2005-02-04,20000000,67192859,11.62423,4.6,191
Premonition,Premonition,2007-02-08,20000000,84146832,22.049787,5.8,381
The Tigger Movie,The Tigger Movie,2000-02-11,30000000,45554533,9.829858999999999,6.3,143
Orphan,Orphan,2009-07-24,20000000,41596251,29.295801,6.7,1261
Max,Max,2015-06-26,20000000,43967255,14.136476000000002,6.8,276
Epic Movie,Epic Movie,2007-01-25,20000000,86865564,6.0646379999999995,3.2,326
Spotlight,Spotlight,2015-11-06,20000000,88346473,41.503588,7.8,2686
Lakeview Terrace,Lakeview Terrace,2008-09-19,20000000,27640028,20.495749,5.9,292
The Grudge 2,The Grudge 2,2006-10-13,20000000,39143839,13.906944000000001,5.2,283
How Stella Got Her Groove Back,How Stella Got Her Groove Back,1998-08-14,20000000,37672350,2.003047,6.0,24
Man of the Year,Man of the Year,2006-10-09,20000000,41237648,11.203335000000001,5.8,129
The Black Hole,The Black Hole,1979-12-18,20000000,35841901,8.265317,6.1,131
The American,The American,2010-08-31,20000000,65464324,18.632156,5.8,481
Selena,Selena,1997-03-21,20000000,60000000,6.92592,7.0,114
Vampires Suck,Vampires Suck,2010-08-18,20000000,80547866,17.165039,4.2,315
Babel,Babel,2006-09-08,25000000,135330182,25.785925,6.9,1055
This Is Where I Leave You,This Is Where I Leave You,2014-09-10,19800000,41296320,20.311684,6.5,505
Doubt,Doubt,2008-11-27,20000000,50907234,20.975165,7.0,435
Team America: World Police,Team America: World Police,2004-10-10,32000000,50907422,26.509175,6.6,660
Texas Chainsaw 3D,Texas Chainsaw 3D,2013-01-03,20000000,47241945,26.497025,5.3,465
Scary Movie 5,Scary Movie 5,2013-04-11,20000000,78378744,36.819044,4.6,793
Paint Your Wagon,Paint Your Wagon,1969-10-15,20000000,31678778,7.9025360000000004,6.2,63
Milk,Milk,2008-11-26,20000000,54586584,30.909699,7.1,612
Risen,Risen,2016-02-19,20000000,46069568,16.663797,5.7,295
Ghost Ship,Ghost Ship,2002-10-25,35000000,68349884,27.724913,5.3,531
A Very Harold & Kumar Christmas,A Very Harold & Kumar Christmas,2011-11-04,19000000,35387212,17.971883,6.0,328
Wild Things,Wild Things,1998-03-20,20000000,67200000,25.041992,6.3,444
The Debt,The Debt,2010-04-11,20000000,45636368,14.857884,6.3,257
High Fidelity,High Fidelity,2000-03-17,30000000,47126295,23.982956,7.0,628
The Bank Job,The Bank Job,2008-02-28,20000000,64822796,30.387753999999997,6.6,697
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,2004-03-19,20000000,72258126,56.481487,7.9,3652
You Again,You Again,2010-09-24,20000000,32005248,19.962713,6.0,368
Street Kings,Street Kings,2008-04-10,20000000,65569869,18.666876000000002,6.3,363
The World's End,The World's End,2013-07-18,20000000,46089287,55.964605000000006,6.7,1778
Daybreakers,Daybreakers,2009-01-06,20000000,51416464,28.019226,6.0,634
She's Out of My League,She's Out of My League,2010-03-11,20000000,49779728,16.176976,5.9,525
Monte Carlo,Monte Carlo,2011-07-01,20000000,17425000,17.237143,6.0,593
Stay Alive,Stay Alive,2006-03-24,9000000,27105095,4.34503,5.3,155
Alpha and Omega,Alpha and Omega,2010-09-17,20000000,39300000,12.300789,5.3,124
The Covenant,The Covenant,2006-09-08,20000000,37597471,15.804814000000002,5.2,288
Shorts,Shorts,2009-08-21,40000000,28972508,4.100942,5.1,44
To Die For,To Die For,1995-05-20,20000000,21284514,12.309714999999999,6.7,175
Nerve,Nerve,2016-07-27,20000000,83707310,62.933899,7.1,2181
Appaloosa,Appaloosa,2008-09-12,20000000,20211394,16.074397,6.3,299
Psycho,Psycho,1960-06-16,806948,32000000,93.06786600000001,8.2,2320
My Best Friend's Girl,My Best Friend's Girl,2008-09-19,20000000,36620508,17.145287,5.4,220
Endless Love,Endless Love,2014-02-12,20000000,34077920,27.256849,6.7,542
Under the Rainbow,Under the Rainbow,1981-07-31,20000000,2297493,0.173964,4.9,7
Ladyhawke,Ladyhawke,1985-03-27,20000000,18432000,14.370110999999998,6.8,260
Simon Birch,Simon Birch,1998-09-11,20000000,18253415,11.090254,6.5,52
Reign Over Me,Reign Over Me,2007-03-23,20000000,22222308,20.827779999999997,7.1,334
Into the Wild,Into the Wild,2007-09-11,15000000,56255142,43.644978,7.8,3045
School for Scoundrels,School for Scoundrels,2006-09-29,20000000,17807569,8.244324,5.6,111
Silent Hill: Revelation 3D,Silent Hill: Revelation 3D,2012-10-10,20000000,52302796,23.292761,5.0,432
From Dusk Till Dawn,From Dusk Till Dawn,1996-01-19,19000000,25836616,64.181668,6.9,1603
功夫,Kung Fu Hustle,2004-02-10,20000000,100914445,13.658985000000001,7.2,831
The Kite Runner,The Kite Runner,2007-10-14,20000000,73276047,10.446722,7.3,394
21 Grams,21 Grams,2003-09-06,20000000,60427839,32.243357,7.2,918
Paparazzi,Paparazzi,2004-09-03,20000000,16605763,9.149089,5.8,52
A Guy Thing,A Guy Thing,2003-01-17,20000000,17432163,5.596835,5.3,83
Capitalism: A Love Story,Capitalism: A Love Story,2009-09-06,20000000,17436509,10.50098,7.0,167
The Greatest Story Ever Told,The Greatest Story Ever Told,1965-02-15,20000000,15473333,3.011205,6.5,41
Secret in Their Eyes,Secret in Their Eyes,2015-10-14,19500000,34854990,15.012236999999999,6.2,336
Disaster Movie,Disaster Movie,2008-08-29,25000000,14109284,16.238961,3.0,240
Armored,Armored,2009-12-04,20000000,22942221,15.21229,5.5,208
The Man Who Knew Too Little,The Man Who Knew Too Little,1997-11-14,20000000,13801755,6.397042,6.5,125
What's Your Number?,What's Your Number?,2011-09-30,20000000,30426096,19.220789,6.2,671
Lockout,Lockout,2012-04-12,20000000,32204030,35.232278,5.8,715
Crank: High Voltage,Crank: High Voltage,2009-04-16,20000000,34560577,35.542809000000005,5.9,861
One Night with the King,One Night with the King,2006-10-13,20000000,13391174,3.476925,6.1,12
The Quiet American,The Quiet American,2002-11-22,30000000,27674124,5.133744,6.4,81
The Weather Man,The Weather Man,2005-10-20,20000000,12482775,14.031376999999999,6.0,289
Undisputed,Undisputed,2002-08-23,20000000,12398628,17.227376,6.1,139
12 Rounds,12 Rounds,2009-03-19,20000000,17280326,15.66135,5.7,220
Let Me In,Let Me In,2010-10-01,20000000,24145613,19.705311,6.7,641
Triple 9,Triple 9,2016-02-19,20000000,12639297,29.371987,5.6,797
Deconstructing Harry,Deconstructing Harry,1997-08-26,20000000,10686841,11.352692999999999,7.3,187
Burnt,Burnt,2015-10-02,20000000,36606743,30.477114,6.3,950
Death Sentence,Death Sentence,2007-08-31,20000000,16974459,12.643703,6.5,297
Code Name: The Cleaner,Code Name: The Cleaner,2007-01-05,20000000,10337477,9.361460000000001,4.7,78
Connie and Carla,Connie and Carla,2004-04-16,20000000,11341016,6.102663,6.4,24
Sweet Charity,Sweet Charity,1969-01-01,8000000,20000000,0.7091430000000001,6.5,15
Inherent Vice,Inherent Vice,2014-12-25,20000000,11110975,45.742217,6.5,833
Battle of the Year,Battle of the Year,2013-09-21,20000000,16549477,8.237336,5.9,88
An American Carol,An American Carol,2008-10-03,20000000,7000000,2.6053740000000003,4.1,20
Machete Kills,Machete Kills,2013-09-12,12000000,15008161,29.072964000000002,5.3,631
Little Boy,Little Boy,2015-04-23,20000000,6420319,12.232047999999999,7.0,185
A Dangerous Method,A Dangerous Method,2011-09-30,15000000,27462041,27.133277000000003,6.2,571
A Scanner Darkly,A Scanner Darkly,2006-05-25,8700000,7659918,26.093042999999998,6.8,532
Alone in the Dark,Alone in the Dark,2005-01-28,20000000,10442808,9.292987,3.1,173
Bandslam,Bandslam,2009-08-06,20000000,5210988,7.716606,5.4,126
A Most Violent Year,A Most Violent Year,2014-12-30,20000000,12007070,37.629309,6.5,546
I'm Not There.,I'm Not There.,2007-10-01,20000000,4001121,13.032308,6.6,195
The Cold Light of Day,The Cold Light of Day,2012-04-04,20000000,16863583,15.131867000000002,4.8,271
The Brothers Bloom,The Brothers Bloom,2008-09-09,20000000,5530764,10.218307000000001,6.8,203
もののけ姫,Princess Mononoke,1997-07-12,26500000,159375308,60.732738,8.2,1983
The Proposition,The Proposition,2005-10-06,2000000,5048693,14.617944,7.1,218
Marci X,Marci X,2003-08-22,20000000,1675706,5.65327,3.3,12
Equilibrium,Equilibrium,2002-12-06,20000000,5359645,44.566609,6.9,1552
黃石的孩子,The Children of Huang Shi,2008-07-03,40000000,7400000,8.978408,6.5,52
By the Sea,By the Sea,2015-11-12,10000000,3727746,11.267676,5.4,156
Rapa Nui,Rapa Nui,1994-09-09,20000000,305070,3.5819059999999996,6.2,33
Dylan Dog: Dead of Night,Dylan Dog: Dead of Night,2011-03-16,20000000,4634062,10.617236,4.5,139
